Unique Key,Created Date,Complaint Type,Descriptor,Incident Address,Street Name,Latitude,Longitude,Location,Complaint Category,Category
61488942,2024-06-16 00:34:49,Noise - Street/Sidewalk,Loud Talking,1925 7 AVENUE,7 AVENUE,40.80343327648867,-73.95236059020847,"(40.803433276488676, -73.95236059020847)",Noise,Very High
61486023,2024-06-16 00:33:58,Noise - Street/Sidewalk,Loud Music/Party,362 WEST  127 STREET,WEST  127 STREET,40.81236461133171,-73.95236864734623,"(40.812364611331716, -73.95236864734623)",Noise,Very High
61494583,2024-06-16 00:33:04,Noise - Street/Sidewalk,Loud Talking,1925 7 AVENUE,7 AVENUE,40.80343327648867,-73.95236059020847,"(40.803433276488676, -73.95236059020847)",Noise,Very High
61493178,2024-06-16 00:31:31,Noise - Street/Sidewalk,Loud Talking,1925 7 AVENUE,7 AVENUE,40.80343327648867,-73.95236059020847,"(40.803433276488676, -73.95236059020847)",Noise,Very High
61490329,2024-06-16 00:29:58,Noise - Street/Sidewalk,Loud Talking,1925 7 AVENUE,7 AVENUE,40.80343327648867,-73.95236059020847,"(40.803433276488676, -73.95236059020847)",Noise,Very High
61495850,2024-06-16 00:26:52,Noise - Street/Sidewalk,Loud Music/Party,362 WEST  127 STREET,WEST  127 STREET,40.81236461133171,-73.95236864734623,"(40.812364611331716, -73.95236864734623)",Noise,Very High
61491636,2024-06-16 00:16:46,Noise - Street/Sidewalk,Loud Music/Party,366 WEST  127 STREET,WEST  127 STREET,40.81239483159984,-73.95243726403454,"(40.81239483159984, -73.95243726403454)",Noise,High
61494468,2024-06-16 00:06:04,Noise - Street/Sidewalk,Loud Music/Party,362 WEST  127 STREET,WEST  127 STREET,40.81236461133171,-73.95236864734623,"(40.812364611331716, -73.95236864734623)",Noise,Very High
61492807,2024-06-16 00:02:53,Noise - Commercial,Car/Truck Music,247 DYCKMAN STREET,DYCKMAN STREET,40.86637625813613,-73.92826173870098,"(40.86637625813613, -73.92826173870098)",Noise,High
61495569,2024-06-16 00:00:53,Noise - Commercial,Loud Music/Party,247 DYCKMAN STREET,DYCKMAN STREET,40.86637625813613,-73.92826173870098,"(40.86637625813613, -73.92826173870098)",Noise,High
